OBJECTID,Shape,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,City,Shape_Length,Shape_Area
169,,26,163,541100,26163541100,5411,Census Tract 5411,G5020,S,1431843,0,+42.4222559,-083.2439581,Detroit,16371.72442,15410392.93
170,,26,163,541000,26163541000,5410,Census Tract 5410,G5020,S,1284427,0,+42.4329511,-083.2487283,Detroit,15758.38749,13823845.49
171,,26,163,540900,26163540900,5409,Census Tract 5409,G5020,S,1262475,0,+42.4401121,-083.2489699,Detroit,15675.43758,13587513.98
172,,26,163,540800,26163540800,5408,Census Tract 5408,G5020,S,1267530,0,+42.4405745,-083.2295474,Detroit,15756.4002,13641897.35
173,,26,163,540700,26163540700,5407,Census Tract 5407,G5020,S,1285936,0,+42.4334044,-083.2292261,Detroit,15863.22373,13840005.27
174,,26,163,540600,26163540600,5406,Census Tract 5406,G5020,S,1197254,0,+42.4224753,-083.2339950,Detroit,15409.57781,12885617.22
175,,26,163,540500,26163540500,5405,Census Tract 5405,G5020,S,1389937,1896,+42.4237296,-083.2251159,Detroit,16240.96914,14979840.62
176,,26,163,540400,26163540400,5404,Census Tract 5404,G5020,S,1277210,0,+42.4193657,-083.2091493,Detroit,15722.50945,13746174.73
177,,26,163,540300,26163540300,5403,Census Tract 5403,G5020,S,1288765,0,+42.4266089,-083.2094015,Detroit,15747.25179,13870500.7
178,,26,163,505400,26163505400,5054,Census Tract 5054,G5020,S,1390236,0,+42.4186463,-082.9937654,Detroit,18230.7387,14962674.44
179,,26,163,505500,26163505500,5055,Census Tract 5055,G5020,S,1905278,0,+42.3970633,-083.0014601,Detroit,20033.72777,20506088.2
180,,26,163,511000,26163511000,5110,Census Tract 5110,G5020,S,5055983,0,+42.4008260,-083.0306599,Detroit,36414.29266,54416183.11
181,,26,163,511300,26163511300,5113,Census Tract 5113,G5020,S,1513883,0,+42.4154477,-083.0497684,Detroit,17942.33883,16293457.05
