DSYear,DSType,SelectedGeography,SubjectArea,Geography,GEONAME,GEOID10,LOGRECNO,VarID,TableTitle,ShortName,Value,MoE,StdErr2,LongName
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5013, Wayne County, Michigan",2.62E+11,357589,P0030002,RACE,White alone,6,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5013, Wayne County, Michigan",2.62E+11,357590,P0030002,RACE,White alone,17,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5013, Wayne County, Michigan",2.62E+11,357591,P0030002,RACE,White alone,8,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 5, Census Tract 5013, Wayne County, Michigan",2.62E+11,357592,P0030002,RACE,White alone,44,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5014, Wayne County, Michigan",2.62E+11,357594,P0030002,RACE,White alone,55,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5014, Wayne County, Michigan",2.62E+11,357595,P0030002,RACE,White alone,96,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5014, Wayne County, Michigan",2.62E+11,357596,P0030002,RACE,White alone,87,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5014, Wayne County, Michigan",2.62E+11,357597,P0030002,RACE,White alone,53,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5015, Wayne County, Michigan",2.62E+11,357599,P0030002,RACE,White alone,130,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5015, Wayne County, Michigan",2.62E+11,357600,P0030002,RACE,White alone,34,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5015, Wayne County, Michigan",2.62E+11,357601,P0030002,RACE,White alone,103,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5015, Wayne County, Michigan",2.62E+11,357602,P0030002,RACE,White alone,115,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 5, Census Tract 5015, Wayne County, Michigan",2.62E+11,357603,P0030002,RACE,White alone,142,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5016, Wayne County, Michigan",2.62E+11,357605,P0030002,RACE,White alone,194,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5016, Wayne County, Michigan",2.62E+11,357606,P0030002,RACE,White alone,234,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5017, Wayne County, Michigan",2.62E+11,357608,P0030002,RACE,White alone,277,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5017, Wayne County, Michigan",2.62E+11,357609,P0030002,RACE,White alone,321,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5018, Wayne County, Michigan",2.62E+11,357611,P0030002,RACE,White alone,161,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5018, Wayne County, Michigan",2.62E+11,357612,P0030002,RACE,White alone,111,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5018, Wayne County, Michigan",2.62E+11,357613,P0030002,RACE,White alone,237,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5018, Wayne County, Michigan",2.62E+11,357614,P0030002,RACE,White alone,265,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5019, Wayne County, Michigan",2.62E+11,357616,P0030002,RACE,White alone,29,0,0,Total:%White alone
